probe_id,off_target_genes
ENSMUSG00000000088|Cox5a|de90bea,ENSMUSG00000082715|Gm11633
ENSMUSG00000000579|Dynlt1c|43b1b20,ENSMUSG00000092074|Dynlt1a;ENSMUSG00000095677|Dynlt1f
ENSMUSG00000001036|Epn2|d353bff,ENSMUSG00000035203|Epn1;ENSMUSG00000010080|Epn3
ENSMUSG00000001105|Ift20|eef7c84,ENSMUSG00000111810|Gm29785
ENSMUSG00000001289|Pfdn5|825eaeb,ENSMUSG00000100104|Gm5644;ENSMUSG00000117407|Gm7720
ENSMUSG00000001525|Tubb5|abce77e,ENSMUSG00000083154|Gm11892
ENSMUSG00000001767|Crnkl1|81d728a,ENSMUSG00000107740|Gm18765;ENSMUSG00000107821|Gm8038;ENSMUSG00000107418|Gm4782;ENSMUSG00000107032|Gm5301;ENSMUSG00000106989|Gm5989
ENSMUSG00000002546|Golga2|cf4d515,ENSMUSG00000084184|Gm13474
ENSMUSG00000002881|Nab1|16fae09,ENSMUSG00000083777|Gm13361
ENSMUSG00000003346|Abhd17a|8926edd,ENSMUSG00000038459|Abhd17c
ENSMUSG00000003527|Ess2|d500a74,ENSMUSG00000083281|Gm13332
ENSMUSG00000004069|Dnaja3|71bda1a,ENSMUSG00000105291|Gm18901
ENSMUSG00000004151|Etv1|73678c1,ENSMUSG00000047643|Gm5454
ENSMUSG00000004880|Lbr|7bde583,ENSMUSG00000024799|Tm7sf2
ENSMUSG00000005547|Cyp2a5|71f7f18,ENSMUSG00000074254|Cyp2a4
ENSMUSG00000005732|Ranbp1|d968ef3,ENSMUSG00000083912|Gm5391;ENSMUSG00000117299|Gm9288
ENSMUSG00000006288|Ttc5|447e546,ENSMUSG00000074236|Gm9387
ENSMUSG00000006356|Crip2|d239942,ENSMUSG00000114913|Gm18276
ENSMUSG00000006398|Cdc20|a6d9508,ENSMUSG00000082011|Gm15043;ENSMUSG00000095591|Gm15045;ENSMUSG00000095988|Gm15042;ENSMUSG00000081938|Gm15039
ENSMUSG00000006442|Srm|43ffab3,ENSMUSG00000110808|Gm5364
ENSMUSG00000006641|Slc5a6|b765498,ENSMUSG00000105687|Gm6157
ENSMUSG00000006699|Cdc42|9302c55,ENSMUSG00000109255|Gm7407;ENSMUSG00000110173|Gm6929;ENSMUSG00000111315|Gm47473
