probe_id,off_target_genes
ENSG00000004455|AK2|9f34385,ENSG00000185839|AL035411.1;ENSG00000242272|AK2P2
ENSG00000004478|FKBP4|ed8be23,ENSG00000251463|FKBP4P1
ENSG00000005022|SLC25A5|e0d84d7,ENSG00000225347|SLC25A5P8;ENSG00000213673|SLC25A5P3;ENSG00000226421|SLC25A5P5;ENSG00000235064|SLC25A5P2;ENSG00000213332|SLC25A5P6;ENSG00000251078|SLC25A5P9
ENSG00000005075|POLR2J|e3cf54f,ENSG00000228049|POLR2J2;ENSG00000285437|POLR2J3;ENSG00000272655|POLR2J4
ENSG00000005889|ZFX|aad009d,ENSG00000067646|ZFY
ENSG00000006625|GGCT|dea3f5e,ENSG00000232943|AL050321.1
ENSG00000006756|ARSD|0fd6410,ENSG00000225117|ARSDP1
ENSG00000008128|CDK11A|2d9087f,ENSG00000248333|CDK11B
ENSG00000008324|SS18L2|cc126ff,ENSG00000232525|SS18L2P1
ENSG00000009950|MLXIPL|94d43a5,ENSG00000175727|MLXIP
ENSG00000011304|PTBP1|15e5c41,ENSG00000259078|PTBP1P
ENSG00000011451|WIZ|5d112eb,ENSG00000255293|WIZP1
ENSG00000015479|MATR3|9d80d1a,ENSG00000237897|AL512844.2
ENSG00000022267|FHL1|4335b66,ENSG00000244193|AC008040.4;ENSG00000239219|AC008040.1
ENSG00000029993|HMGB3|d1adf04,ENSG00000213070|HMGB3P6;ENSG00000267132|HMGB3P27;ENSG00000215283|HMGB3P24;ENSG00000225336|HMGB3P1;ENSG00000227096|HMGB3P8;ENSG00000213652|HMGB3P30;ENSG00000237642|HMGB3P5;ENSG00000226059|HMGB3P20;ENSG00000231470|HMGB3P2;ENSG00000260828|HMGB3P32;ENSG00000267515|AP001029.3;ENSG00000231929|HMGB3P31;ENSG00000235148|HMGB3P23;ENSG00000217085|HMGB3P19
ENSG00000034510|TMSB10|ad886d3,ENSG00000235211|TMSB10P2
ENSG00000046647|GEMIN8|3ee0bb8,ENSG00000228175|GEMIN8P4
ENSG00000047644|WWC3|61ad3b9,ENSG00000274365|AC013412.1
ENSG00000048545|GUCA1A|ad8b0eb,ENSG00000287363|AL096814.2
ENSG00000049283|EPN3|936f3e3,ENSG00000063245|EPN1
ENSG00000051596|THOC3|1a39861,ENSG00000170089|AC106795.1
ENSG00000053371|AKR7A2|18afb04,ENSG00000224341|AC006965.1
ENSG00000058404|CAMK2B|11a4110,ENSG00000148660|CAMK2G
ENSG00000058673|ZC3H11A|660e513,ENSG00000257315|ZBED6
ENSG00000059122|FLYWCH1|8fe01fe,ENSG00000239516|FLYWCH1P1
ENSG00000060138|YBX3|b83c903,ENSG00000261614|YBX3P1
ENSG00000065371|ROPN1|c1b1b44,ENSG00000114547|ROPN1B
ENSG00000065518|NDUFB4|6d0ff8a,ENSG00000124399|NDUFB4P12
ENSG00000065923|SLC9A7|ad1b6a1,ENSG00000227825|SLC9A7P1
ENSG00000066813|ACSM2B|80d204b,ENSG00000183747|ACSM2A
ENSG00000067225|PKM|e4dd4ee,ENSG00000236480|PKMP1;ENSG00000235892|PKMP2;ENSG00000215057|PKMP5
ENSG00000069849|ATP1B3|7ef0faa,ENSG00000271707|ATP1B3P1
ENSG00000070610|GBA2|82121a7,ENSG00000254131|AC093367.1
ENSG00000070669|ASNS|1db2085,ENSG00000284707|AC079781.5
ENSG00000070831|CDC42|b50d278,ENSG00000237350|CDC42P6
ENSG00000071564|TCF3|5e57f4a,ENSG00000236567|TCF3P1
ENSG00000072849|DERL2|d1c9215,ENSG00000231923|AC024082.1
ENSG00000074201|CLNS1A|0ec7028,ENSG00000248625|AC079768.1
ENSG00000075073|TACR2|dc5f365,ENSG00000134817|APLNR
ENSG00000075240|GRAMD4|7b0c9b9,ENSG00000270930|GRAMD4P8
ENSG00000075886|TUBA3D|a4a5633,ENSG00000198033|TUBA3C;ENSG00000249680|TUBA3GP;ENSG00000284060|AC002472.2
ENSG00000079102|RUNX1T1|dc5327a,ENSG00000129993|CBFA2T3
ENSG00000079432|CIC|9e97621,ENSG00000237799|CICP11;ENSG00000226220|CICP22;ENSG00000227233|CICP17
ENSG00000079974|RABL2B|0ee32c0,ENSG00000144134|RABL2A
ENSG00000079974|RABL2B|9faf6b4,ENSG00000144134|RABL2A
ENSG00000081154|PCNP|49fcf30,ENSG00000225856|PCNPP2;ENSG00000177197|PCNPP5
ENSG00000081377|CDC14B|c641a6e,ENSG00000218305|CDC14C;ENSG00000225705|AC004899.1
ENSG00000081665|ZNF506|870ef66,ENSG00000269043|AC008554.1;ENSG00000213973|ZNF99;ENSG00000196705|ZNF431;ENSG00000105750|ZNF85;ENSG00000196247|ZNF107;ENSG00000160229|ZNF66;ENSG00000172687|ZNF738;ENSG00000198039|ZNF273;ENSG00000197020|ZNF100;ENSG00000188171|ZNF626;ENSG00000213462|ERV3-1;ENSG00000152926|ZNF117
ENSG00000082014|SMARCD3|3d160fd,ENSG00000108604|SMARCD2
ENSG00000083635|NUFIP1|a83cddd,ENSG00000218890|NUFIP1P1
ENSG00000085063|CD59|1270e4a,ENSG00000284969|AL049629.2
ENSG00000085231|AK6|0106c35,ENSG00000257173|AK6P2;ENSG00000256614|AK6P1
ENSG00000085231|AK6|9b5b101,ENSG00000253550|AC016065.2;ENSG00000257173|AK6P2;ENSG00000256614|AK6P1;ENSG00000229302|TAF9P2;ENSG00000226353|TAF9P1
ENSG00000085662|AKR1B1|edd2abf,ENSG00000213785|AKR1B1P3;ENSG00000229991|AKR1B1P1
ENSG00000086205|FOLH1|91182ad,ENSG00000134612|FOLH1B
ENSG00000086548|CEACAM6|cd334a8,ENSG00000105388|CEACAM5;ENSG00000233681|CEACAMP1
ENSG00000086712|TXLNG|1ee70dc,ENSG00000131002|TXLNGY
ENSG00000087338|GMCL1|5e25817,ENSG00000244234|GMCL2
ENSG00000089818|NECAP1|c3f11d2,ENSG00000178503|NECAP1P1
ENSG00000090889|KIF4A|b117c07,ENSG00000226650|KIF4B
ENSG00000092208|GEMIN2|6de139b,ENSG00000235015|GEMIN2P1
ENSG00000092445|TYRO3|c5bf1ae,ENSG00000167601|AXL
ENSG00000092841|MYL6|ff719cd,ENSG00000227173|MYL6P3
ENSG00000099725|PRKY|8e4fbb4,ENSG00000183943|PRKX
ENSG00000099783|HNRNPM|a75e2ed,ENSG00000269576|HNRNPMP2;ENSG00000275862|AC008622.3
ENSG00000099797|TECR|db26964,ENSG00000248565|TECRP2
ENSG00000099817|POLR2E|401c57d,ENSG00000255210|AP001889.1
ENSG00000099901|RANBP1|0dc7de0,ENSG00000228519|AC097263.1;ENSG00000257199|AC025161.1;ENSG00000231744|AL669818.1
ENSG00000100028|SNRPD3|eba77b5,ENSG00000286070|GGT1
ENSG00000100031|GGT1|b4ee23a,ENSG00000230712|GGTLC4P;ENSG00000149435|GGTLC1;ENSG00000100121|GGTLC2
ENSG00000100033|PRODH|9da3cce,ENSG00000277196|AC007325.2
ENSG00000100121|GGTLC2|831b67d,ENSG00000100031|GGT1;ENSG00000286070|GGT1;ENSG00000230712|GGTLC4P;ENSG00000149435|GGTLC1;ENSG00000197421|GGT3P;ENSG00000274252|GGTLC3;ENSG00000276160|GGTLC5P;ENSG00000133475|GGT2;ENSG00000280208|GGT4P
ENSG00000100241|SBF1|b535ae7,ENSG00000248522|SBF1P1
ENSG00000100280|AP1B1|81bc612,ENSG00000234479|AP1B1P1
ENSG00000100307|CBX7|ffc0f78,ENSG00000141582|CBX4
ENSG00000100336|APOL4|dd7d822,ENSG00000128284|APOL3
ENSG00000100346|CACNA1I|971fa42,ENSG00000196557|CACNA1H
ENSG00000100462|PRMT5|452e852,ENSG00000249004|PRMT5P1
ENSG00000100478|AP4S1|4be53c7,ENSG00000220960|AL079342.2
ENSG00000100519|PSMC6|422d38e,ENSG00000236814|AC046176.1;ENSG00000256075|AC008033.1
ENSG00000100603|SNW1|7df48e6,ENSG00000235400|AC104837.1
ENSG00000100836|PABPN1|732366c,ENSG00000258643|BCL2L2-PABPN1
ENSG00000100902|PSMA6|4e72eef,ENSG00000215414|PSMA6P1
ENSG00000101115|SALL4|ebf8243,ENSG00000231280|SALL4P6
